AircraftId,Date,AircraftType,Origin,Destination,DepartureAEST,ArrivalAEST,Duration,,,,,,,,,,,,,,,,,,,
FD456,4/7/2022,BE20,Chinchilla (CCL / YCCA),Wellcamp Airport (WTB / YBWW),6:37 pm,6:58 pm,21,,,,,,,,,,,,,,,,,,,
FD849,4/7/2022,PC12,Alice Springs (ASP / YBAS),Papunya (YPAY),7:17 pm,7:49 pm,32,,,,,,,,,,,,,,,,,,,
FD617,4/7/2022,PC12,Meekatharra (MKR / YMEK),Jandakot (JAD / YPJT),7:39 pm,9:12 pm,93,,,,,,,,,,,,,,,,,,,
FD456,4/7/2022,BE20,Wellcamp Airport (WTB / YBWW),Brisbane (BNE / YBBN),7:40 pm,8:05 pm,25,,,,,,,,,,,,,,,,,,,
FD493,4/7/2022,BE20,Charleville (CTL / YBCV),Dirranbandi (DRN / YDBI),8:11 pm,8:55 pm,44,,,,,,,,,,,,,,,,,,,
FD849,4/7/2022,PC12,Papunya (YPAY),Alice Springs (ASP / YBAS),8:15 pm,8:54 pm,39,,,,,,,,,,,,,,,,,,,
FD543,4/7/2022,Unknown,Port Lincoln (PLO / YPLC),Adelaide Int'l (ADL / YPAD),8:18 pm,8:58 pm,40,,,,,,,,,,,,,,,,,,,
FD478,4/7/2022,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),8:39 pm,8:53 pm,14,,,,,,,,,,,,,,,,,,,
FD416,4/7/2022,BE20,Cloncurry (CNJ / YCCY),Townsville Int'l / RAAF (TSV / YBTL),8:45 pm,10:12 pm,87,,,,,,,,,,,,,,,,,,,
FD449,4/7/2022,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),8:56 pm,9:11 pm,15,,,,,,,,,,,,,,,,,,,
FD602,4/7/2022,PC12,Kalgoorlie-Boulder (KGI / YPKG),Merredin (YMDN),9:05 pm,10:00 pm,55,,,,,,,,,,,,,,,,,,,
FD449,4/7/2022,B350,Gladstone (GLT / YGLA),Brisbane (BNE / YBBN),9:11 pm,10:38 pm,87,,,,,,,,,,,,,,,,,,,
FD617,4/7/2022,Unknown,Jandakot (JAD / YPJT),Jandakot (JAD / YPJT),9:13 pm,9:36 pm,23,,,,,,,,,,,,,,,,,,,
FD493,4/7/2022,BE20,Dirranbandi (DRN / YDBI),Wellcamp Airport (WTB / YBWW),9:37 pm,10:36 pm,59,,,,,,,,,,,,,,,,,,,
FD478,4/7/2022,BE20,Hervey Bay (HVB / YHBA),Brisbane (BNE / YBBN),9:42 pm,10:19 pm,37,,,,,,,,,,,,,,,,,,,
FD849,4/7/2022,PC12,Alice Springs (ASP / YBAS),Kintore (YKNT),9:48 pm,10:55 pm,67,,,,,,,,,,,,,,,,,,,
FD596,4/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Port Lincoln (PLO / YPLC),10:02 pm,10:42 pm,40,,,,,,,,,,,,,,,,,,,
FD624J,4/7/2022,PC24,Broome Int'l (BME / YBRM),Karratha (KTA / YPKA),10:06 pm,11:09 pm,63,,,,,,,,,,,,,,,,,,,
FD602,4/7/2022,PC12,Merredin (YMDN),Jandakot (JAD / YPJT),10:19 pm,11:02 pm,43,,,,,,,,,,,,,,,,,,,
FD617,4/7/2022,PC12,Jandakot (JAD / YPJT),Meekatharra (MKR / YMEK),10:52 pm,12:29 am,97,,,,,,,,,,,,,,,,,,,
FD849,4/7/2022,PC12,Kintore (YKNT),Papunya (YPAY),11:14 pm,12:16 am,62,,,,,,,,,,,,,,,,,,,
FD849,4/7/2022,PC12,Kintore (YKNT),Finke (YFNE),11:14 pm,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD602,4/7/2022,PC12,Jandakot (JAD / YPJT),Kalgoorlie-Boulder (KGI / YPKG),11:47 pm,12:56 am,69,,,,,,,,,,,,,,,,,,,
FD602,4/7/2022,PC12,Jandakot (JAD / YPJT),Leonora (LNO / YLEO),11:47 pm,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD624J,4/7/2022,PC24,Karratha (KTA / YPKA),Jandakot (JAD / YPJT),11:48 pm,1:35 am,107,,,,,,,,,,,,,,,,,,,
FD493,4/7/2022,BE20,Wellcamp Airport (WTB / YBWW),Charleville (CTL / YBCV),11:51 pm,1:18 am,87,,,,,,,,,,,,,,,,,,,
FD538,4/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Port Lincoln (PLO / YPLC),11:56 pm,12:36 am,40,,,,,,,,,,,,,,,,,,,
FD416,4/7/2022,BE20,Townsville Int'l / RAAF (TSV / YBTL),Normanton (YNTN),11:57 pm,1:40 am,103,,,,,,,,,,,,,,,,,,,
FD449,5/7/2022,B350,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),12:28 am,2:19 am,111,,,,,,,,,,,,,,,,,,,
FD449,5/7/2022,B350,Brisbane (BNE / YBBN),Emerald (EMD / YEML),12:28 am,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD456,5/7/2022,BE20,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),12:35 am,2:06 am,91,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Merredin (YMDN),Jandakot (JAD / YPJT),12:42 am,1:26 am,44,,,,,,,,,,,,,,,,,,,
FD478,5/7/2022,BE20,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),12:43 am,1:38 am,55,,,,,,,,,,,,,,,,,,,
FD624J,5/7/2022,PC24,Port Hedland Int'l (PHE / YPPD),Jandakot (JAD / YPJT),1:23 am,3:23 am,120,,,,,,,,,,,,,,,,,,,
FD538,5/7/2022,PC12,Port Lincoln (PLO / YPLC),Adelaide Int'l (ADL / YPAD),1:39 am,2:19 am,40,,,,,,,,,,,,,,,,,,,
FD849,5/7/2022,PC12,Papunya (YPAY),Alice Springs (ASP / YBAS),2:07 am,2:45 am,38,,,,,,,,,,,,,,,,,,,
FD624J,5/7/2022,PC24,Jandakot (JAD / YPJT),Broome Int'l (BME / YBRM),2:12 am,4:34 am,142,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Normanton (YNTN),Mount Isa (ISA / YBMA),2:36 am,3:39 am,63,,,,,,,,,,,,,,,,,,,
FD849,5/7/2022,Unknown,Alice Springs (ASP / YBAS),Alice Springs (ASP / YBAS),2:45 am,2:49 am,4,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Geraldton (GET / YGEL),Jandakot (JAD / YPJT),2:58 am,3:54 am,56,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Jandakot (JAD / YPJT),Kalgoorlie-Boulder (KGI / YPKG),3:38 am,4:48 am,70,,,,,,,,,,,,,,,,,,,
FD456,5/7/2022,BE20,Rockhampton (ROK / YBRK),Brisbane (BNE / YBBN),4:35 am,5:42 am,67,,,,,,,,,,,,,,,,,,,
FD607,5/7/2022,PC12,Darwin Int'l / RAAF (DRW / YPDN),Broome Int'l (BME / YBRM),4:57 am,7:42 am,165,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Jandakot (JAD / YPJT),Ravensthorpe (RVT / YNRV),5:39 am,6:33 am,54,,,,,,,,,,,,,,,,,,,
FD493,5/7/2022,BE20,Charleville (CTL / YBCV),Jundah (JUN / YJDA),7:25 am,8:16 am,51,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Townsville Int'l / RAAF (TSV / YBTL),Mackay (MKY / YBMK),7:40 am,8:21 am,41,,,,,,,,,,,,,,,,,,,
FD489,5/7/2022,BE20,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),7:46 am,8:01 am,15,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Ravensthorpe (RVT / YNRV),Jandakot (JAD / YPJT),7:58 am,9:13 am,75,,,,,,,,,,,,,,,,,,,
FD874,5/7/2022,PC12,Darwin Int'l / RAAF (DRW / YPDN),Snake Bay (SNB / YSNK),8:12 am,8:37 am,25,,,,,,,,,,,,,,,,,,,
FD478,5/7/2022,BE20,Bundaberg (BDB / YBUD),Longreach (YLRE),8:14 am,10:26 am,132,,,,,,,,,,,,,,,,,,,
FD456,5/7/2022,BE20,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),8:35 am,10:09 am,94,,,,,,,,,,,,,,,,,,,
FD874,5/7/2022,PC12,Snake Bay (SNB / YSNK),Garden Point (GPN / YGPT),8:46 am,8:50 am,4,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Mackay (MKY / YBMK),Townsville Int'l / RAAF (TSV / YBTL),8:48 am,9:48 am,60,,,,,,,,,,,,,,,,,,,
FD874,5/7/2022,PC12,Garden Point (GPN / YGPT),Darwin Int'l / RAAF (DRW / YPDN),9:07 am,9:26 am,19,,,,,,,,,,,,,,,,,,,
FD617,5/7/2022,PC12,Meekatharra (MKR / YMEK),Newman (ZNE / YNWN),9:10 am,10:08 am,58,,,,,,,,,,,,,,,,,,,
FD609,5/7/2022,PC12,Broome Int'l (BME / YBRM),Derby (DRB / YDBY),9:14 am,9:42 am,28,,,,,,,,,,,,,,,,,,,
FD849,5/7/2022,PC12,Alice Springs (ASP / YBAS),Adelaide Int'l (ADL / YPAD),9:54 am,1:13 pm,199,,,,,,,,,,,,,,,,,,,
FD211,5/7/2022,B350,Dubbo (DBO / YSDU),Lightning Ridge (LHG / YLRD),10:01 am,10:49 am,48,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Kalgoorlie-Boulder (KGI / YPKG),Esperance (EPR / YESP),10:11 am,10:59 am,48,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Mount Isa (ISA / YBMA),Normanton (YNTN),10:13 am,11:02 am,49,,,,,,,,,,,,,,,,,,,
FD489,5/7/2022,BE20,Gladstone (GLT / YGLA),Rockhampton (ROK / YBRK),10:27 am,10:48 am,21,,,,,,,,,,,,,,,,,,,
FD874,5/7/2022,PC12,Darwin Int'l / RAAF (DRW / YPDN),Kalkgurung (KFG / YKKG),10:35 am,12:01 pm,86,,,,,,,,,,,,,,,,,,,
FD617,5/7/2022,PC12,Newman (ZNE / YNWN),Jandakot (JAD / YPJT),10:53 am,1:38 pm,165,,,,,,,,,,,,,,,,,,,
FD601,5/7/2022,PC12,Jandakot (JAD / YPJT),Narrogin (YNRG),11:03 am,11:30 am,27,,,,,,,,,,,,,,,,,,,
FD478,5/7/2022,BE20,Longreach (YLRE),Roma (RMA / YROM),11:17 am,12:31 pm,74,,,,,,,,,,,,,,,,,,,
FD211,5/7/2022,B350,Lightning Ridge (LHG / YLRD),Dubbo (DBO / YSDU),11:20 am,12:04 pm,44,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Esperance (EPR / YESP),Kalgoorlie-Boulder (KGI / YPKG),11:38 am,12:32 pm,54,,,,,,,,,,,,,,,,,,,
